"target.machine","scale.size","75_15","75_20","75_25","90_15","90_20","90_25","97_15","97_20","97_25","98_15","98_20","98_25","99_15","99_20","99_25","105_15","105_20","105_25","125_15","125_20","125_25","130_15","130_20","130_25","146_15","146_20","146_25","157_15","157_20","157_25"
75,5,"0.6","0.5","0.3","0.7","0.6","0.5","0.8","0.6","0.6","0.7","0.7","0.5","0.8","0.7","0.6","0.8","0.8","0.6","1.6","1.6","1.5","0.8","0.8","0.6","0.8","0.6","0.6","3.2","2.8","2.7"
75,10,"0.7","0.5","0.4","0.8","0.5","0.5","0.8","0.6","0.6","0.9","0.6","0.5","0.8","0.7","0.6","0.9","0.6","0.7","1.5","1.4","1.2","0.8","0.7","0.7","1.0","0.5","0.6","2.5","2.4","2.5"
75,15,"0.7","0.5","0.4","0.6","0.5","0.4","0.9","0.6","0.6","0.6","0.6","0.5","0.9","0.8","0.6","0.9","0.8","0.6","1.7","1.3","1.3","0.7","0.7","0.7","1.0","0.7","0.4","2.7","2.8","2.8"
90,5,"0.8","0.5","0.4","0.6","0.4","0.3","0.8","0.8","0.6","0.6","0.5","0.5","0.8","0.9","0.5","0.9","0.8","0.5","1.5","1.4","1.1","0.8","0.7","0.6","0.5","0.5","0.4","2.8","3.4","2.3"
90,10,"0.7","0.5","0.4","0.6","0.3","0.3","0.8","0.4","0.4","0.7","0.4","0.3","0.7","0.7","0.7","0.8","0.7","0.4","1.6","1.2","1.5","0.7","0.6","0.4","0.7","0.4","0.4","2.9","2.4","2.6"
90,15,"0.8","0.6","0.3","0.7","0.3","0.3","0.7","0.6","0.4","0.8","0.5","0.5","0.9","0.8","0.6","1.0","0.5","0.4","1.8","1.3","1.2","0.8","0.5","0.4","0.6","0.5","0.4","3.1","2.6","2.9"
97,5,"0.7","0.7","0.6","0.9","0.4","0.4","0.7","0.5","0.4","0.9","0.7","0.7","1.3","0.8","0.6","0.7","0.8","0.5","1.6","1.2","1.5","0.7","0.7","0.5","0.8","0.5","0.5","3.2","2.6","3.1"
97,10,"0.8","0.8","0.5","0.7","0.5","0.3","0.7","0.8","0.4","0.7","0.6","0.5","0.8","0.8","0.8","0.9","0.7","0.4","1.3","1.3","1.4","0.8","0.6","0.5","0.8","0.6","0.4","3.0","2.8","2.8"
97,15,"0.7","0.6","0.6","0.6","0.5","0.4","0.7","0.5","0.4","0.7","0.7","0.6","0.9","0.7","0.7","0.9","0.5","0.5","1.5","1.5","1.1","0.7","0.6","0.5","0.9","0.4","0.4","2.9","2.6","2.8"
98,5,"1.2","0.7","0.6","0.8","0.4","0.4","1.0","0.9","0.7","0.9","0.5","0.4","1.0","0.7","0.7","0.9","0.7","0.8","2.0","1.4","1.4","1.0","0.9","0.7","0.9","0.6","0.7","2.9","3.0","3.5"
98,10,"1.0","0.6","0.6","0.8","0.5","0.5","0.9","0.5","0.6","0.7","0.5","0.4","1.1","0.6","0.6","1.0","0.8","0.6","2.0","1.3","1.4","1.1","0.7","0.7","1.0","1.0","0.6","3.2","3.2","2.9"
98,15,"0.8","0.7","0.6","0.8","0.5","0.5","0.7","0.6","0.6","0.9","0.8","0.4","0.9","0.7","0.5","1.1","0.7","0.6","1.5","1.5","1.3","0.8","0.7","0.7","0.9","0.6","0.6","3.2","3.3","2.7"
99,5,"0.9","0.7","0.7","0.8","0.6","0.6","0.8","0.9","0.7","0.9","0.9","0.7","0.8","0.8","0.7","0.9","1.1","0.7","1.4","1.5","1.4","1.2","1.1","1.1","1.2","1.0","0.8","3.0","2.7","2.8"
99,10,"0.9","0.7","0.6","1.0","0.7","0.5","1.1","0.8","0.6","1.0","0.7","0.7","0.8","0.7","0.5","1.1","0.9","0.6","1.8","1.3","1.4","1.1","0.9","0.7","1.2","0.9","0.7","3.3","2.8","2.4"
99,15,"1.0","0.6","0.6","1.2","0.6","0.6","0.9","1.0","0.7","0.8","0.8","0.6","0.7","0.6","0.5","1.1","0.8","0.6","1.8","1.3","1.3","0.9","0.9","1.0","0.9","0.7","0.8","3.1","2.9","2.3"
105,5,"0.9","0.9","0.7","0.7","0.6","0.4","1.1","0.6","0.4","0.9","0.8","0.7","0.9","0.8","0.7","0.9","0.7","0.4","1.5","1.3","1.3","0.8","0.8","0.6","0.9","0.6","0.6","3.1","3.2","2.8"
105,10,"0.8","0.5","0.6","0.7","0.6","0.4","0.6","0.7","0.4","1.0","0.6","0.5","1.0","0.9","0.8","0.9","0.4","0.5","2.0","1.4","1.5","0.7","0.6","0.6","0.6","0.5","0.4","3.4","2.7","2.6"
105,15,"0.9","0.7","0.5","0.6","0.5","0.4","1.2","0.4","0.5","0.8","0.6","0.6","0.9","0.8","0.9","0.8","0.4","0.5","1.9","1.3","1.3","1.0","0.6","0.6","0.7","0.4","0.4","3.1","2.8","2.2"
125,5,"1.7","1.5","1.3","1.9","1.6","1.6","1.9","1.6","1.5","2.0","1.6","1.7","1.7","1.6","1.5","1.7","1.8","1.6","2.0","1.8","1.4","1.7","1.6","1.7","1.7","1.5","1.4","3.0","3.1","2.5"
125,10,"1.7","1.4","1.4","1.5","1.5","1.4","1.7","1.7","1.4","1.6","1.5","1.5","1.9","1.5","1.4","1.7","1.6","1.5","1.5","1.7","1.1","1.8","1.6","1.5","1.6","1.4","1.3","3.4","2.5","2.4"
125,15,"1.7","1.4","1.4","2.0","1.5","1.3","1.6","1.6","1.4","1.7","1.4","1.6","1.6","1.4","1.3","1.9","1.5","1.5","1.7","1.5","1.2","1.7","1.5","1.5","2.0","1.6","1.3","3.3","2.4","2.4"
130,5,"0.7","0.8","0.8","0.8","0.6","0.5","1.2","0.7","0.6","0.7","0.7","0.8","1.2","1.0","0.9","0.9","0.7","0.5","1.8","1.7","1.7","0.7","0.5","0.4","0.9","0.6","0.6","3.0","3.2","3.3"
130,10,"0.7","0.7","0.7","0.6","0.6","0.5","0.9","0.7","0.5","0.8","0.7","0.6","1.1","0.9","1.0","0.9","0.5","0.6","1.6","1.4","1.4","0.8","0.6","0.5","0.8","0.6","0.5","2.8","2.9","2.9"
130,15,"0.9","0.8","0.6","0.9","0.6","0.5","0.7","0.6","0.7","0.9","0.9","0.7","1.0","0.7","0.8","1.1","0.6","0.5","1.8","1.4","1.3","0.6","0.5","0.6","1.1","0.7","0.6","3.3","2.8","2.8"
146,5,"0.8","0.6","0.7","0.7","0.5","0.5","1.0","0.6","0.5","0.8","0.9","0.5","1.4","0.7","0.7","0.7","0.6","0.5","1.6","1.5","1.2","0.7","0.7","0.6","0.7","0.6","0.4","2.9","3.2","3.3"
146,10,"0.6","0.6","0.5","0.9","0.6","0.4","1.2","0.6","0.5","0.8","0.7","0.5","0.8","0.8","0.7","0.7","0.5","0.5","1.4","1.3","1.5","0.8","0.5","0.6","0.7","0.5","0.5","3.3","2.7","2.5"
146,15,"0.6","0.5","0.5","0.8","0.5","0.4","0.8","0.5","0.6","0.8","0.6","0.5","1.0","0.7","0.7","0.7","0.6","0.5","1.4","1.5","1.3","0.9","0.6","0.5","0.7","0.6","0.4","2.7","2.9","2.3"
157,5,"3.9","3.8","3.8","4.0","4.4","3.9","4.2","4.3","4.1","3.7","3.9","4.8","3.7","3.8","3.5","4.1","4.3","4.3","4.3","3.6","3.0","4.1","4.1","4.9","4.4","3.8","3.2","4.2","3.7","3.8"
157,10,"3.6","3.5","3.7","3.7","4.0","3.6","3.5","3.4","3.7","3.5","3.3","3.2","3.5","3.5","3.1","3.4","3.5","3.3","3.4","2.9","3.0","3.7","3.7","3.8","3.9","3.5","3.9","4.7","3.7","3.1"
157,15,"3.6","3.7","3.1","3.9","3.9","3.5","3.7","4.0","3.4","3.4","3.5","3.2","3.3","3.5","3.4","4.2","3.4","3.2","4.0","3.1","2.9","4.2","3.5","3.5","3.6","3.4","3.5","4.2","4.5","3.6"
