"target.machine","scale.size","75_15","75_20","75_25","99_15","99_20","99_25","125_15","125_20","125_25","157_15","157_20","157_25"
75,5,"0.0","0.0","0.0","0.5","0.5","0.5","1.2","1.3","1.2","2.6","2.3","2.3"
75,10,"0.0","0.0","0.0","0.5","0.4","0.4","1.0","1.1","0.9","2.0","2.0","2.1"
75,15,"0.0","0.0","0.0","0.5","0.4","0.4","1.3","0.9","0.9","2.2","2.3","2.4"
99,5,"0.7","0.5","0.6","0.0","0.0","0.0","1.0","1.1","1.1","2.5","2.1","2.3"
99,10,"0.5","0.5","0.5","0.0","0.0","0.0","1.2","1.0","0.9","2.7","2.3","2.1"
99,15,"0.7","0.5","0.4","0.0","0.0","0.0","1.2","0.8","0.9","2.4","2.5","1.8"
125,5,"1.1","1.1","0.9","1.5","1.3","1.3","0.0","0.1","0.0","2.0","2.2","1.9"
125,10,"1.6","1.2","1.3","1.2","1.2","1.1","0.0","0.0","0.0","2.6","1.7","1.7"
125,15,"1.4","1.2","1.1","1.5","1.2","1.2","0.0","0.0","0.0","2.5","1.9","1.8"
157,5,"3.0","2.6","3.3","2.8","2.8","2.4","2.5","2.9","2.2","0.0","0.0","0.0"
157,10,"3.0","2.4","2.7","2.7","2.4","2.5","2.1","2.2","2.3","0.0","0.0","0.0"
157,15,"2.5","2.9","2.0","2.9","2.5","2.4","2.2","2.3","2.4","0.0","0.0","0.0"
